unit_type,My rank is: Response,Rank,Year,A grievance/complaint against my unit chain-of-command will be handled in a fair and timely manner by my chain-of-command,Airmen in my unit consider the environmental impact of their actions,"During my performance feedback session, my supervisor provided me with feedback that enabled me to improve my performance prior to my annual performance review",I am allocated the correct amount of training hours each month to operate safely,I am encouraged to be innovative even if that means I might make a mistake,"I am informed of critical information (e.g. work schedules, policies, uniform of the day, etc.) in a reasonable amount of time",I feel I am a valued member of my unit,I feel adequately prepared to deploy and execute my assigned AEF duties,I have been adequately trained for the job I am expected to do,"I have easy and timely access to the written guidance I need to do my job (e.g., AFIs, MAJCOM Supplements, TOs, Self-Assessment Communicators, etc)",I have enough time to accomplish my daily workload during my normal duty hours,"I have the equipment (tools, spare parts, information technology, safety gear, etc.) I need to do my job the right way",I have the opportunity to develop other professional skills,I have the opportunity to develop/improve my AFSC/Special Duty Identifier-related skills,"I trust my leadership chain, from my supervisor to my Wing Commander (or FOA/DRU Commander)",I would be able to complete my assigned tasks if my work center lost communications capability,Individuals in my unit are comfortable approaching supervisors about personal problems,Members of my unit take good care of the equipment they use,My commander is concerned about my personal welfare,My deployment schedule is predictable enough for me to plan and participate in off-duty activities,My duty schedule is predictable enough for me to plan and participate in off-duty activities,My job is designed so I know when I have performed well,My leadership gets the right information about problems in my unit so he/she can fix them,"My position/job description (for both military and civilians) is current and accurately describes my daily functions, tasks and responsibilities",My supervisor corrects poor performance in my work group,My supervisor is concerned with my professional development,My unit accurately accounts for our equipment,My unit challenges inefficient ways of doing business,My unit closely monitors and tracks job qualifications,My unit has a sufficient number of experienced personnel to accomplish our primary mission,My unit has a sufficient number of personnel to accomplish our primary mission,My unit has an effective long-range scheduling process,My unit has processes in place to identify and share lessons learned,My unit has the sufficient funding to accomplish all of our missions,My unit is serious about preventing sexual assault and sexual harassment,My unit leadership chain applies disciplinary standards in a fair and consistent manner,My unit leadership chain consistently reinforces the USAF Core Values and their application to daily operations,My unit provides me sufficient time during working hours to participate in a physical fitness program,My unit spends end-of-year fallout money wisely,My unit takes suicide prevention seriously,My units communication processes prevent wasted effort and/or resources,My units communication system and information flow are effective up and down the chain of command,My units daily activities improve our ability to execute our most demanding mission,My units leaders reward individual performance fairly,My units strategic plan improves unit performance,My units strategic plan translates to what I do on a daily basis,My work center is adequately prepared to execute required operations during the most likely local contingencies,My work facilities enable effective mission accomplishment,Y,Performing my primary AFSC duties is NOT significantly impacted by additional duties,Performing my primary AFSC duties is NOT significantly impacted by ancillary training,Personnel in my unit do not feel pressured to cut corners to accomplish the mission,"Personnel in my unit have the time to become proficient in, then master, their primary AFSC duties","Personnel in my work section treat me with dignity, trust and respect",Standards in my unit are enforced,Teamwork at all levels is prevalent throughout my unit,The actions and decisions of my supervisor indicate he/she values my time,The mentoring I have received in this unit has been helpful in my development,"The performance evaluations (EPR, OPR, civilian performance appraisal) Ive received from my current unit have been fair","The policies and decisions of my AFSC community (e.g., HAF or MAJCOM CE, Comm, SF, Personnel, Ops, etc.) indicate my time is valued",The policies and decisions of other AFSC communities indicate my time is valued,The tasks I perform at work provide me with a sense of accomplishment,The written guidance I use helps me prioritize my work,location,wing,nma_category
Security,E4-E6,2,2018,0,1,2,2,1,1,1,0,2,1,1,-1,1,1,1,-1,1,1,2,0,-1,1,1,1,2,2,-2,-1,1,-1,-2,1,1,-1,2,1,1,1,0,2,0,-1,1,1,1,1,1,1,5,2,-1,1,1,2,1,1,2,2,1,-1,-1,-1,1,MAND,901MD,Missile
Operator,E7-E9,3,2018,0,1,1,1,2,2,2,1,1,2,-1,1,1,1,2,0,2,2,2,2,1,0,0,2,1,2,1,0,0,1,1,0,0,1,2,1,2,1,2,2,1,2,0,2,0,0,0,1,8,0,0,0,0,2,2,2,2,2,2,1,1,2,1,MAND,50BD,Bomber
Operator,E1-E3,1,2018,0,2,0,1,-1,1,1,1,2,2,1,1,1,1,2,-1,2,1,1,1,-1,1,1,1,1,1,2,1,2,1,1,-1,1,-2,1,1,-1,1,0,2,-1,1,1,0,0,0,1,1,4,-1,1,1,-2,1,-1,1,1,2,0,-1,1,1,2,MAND,50BD,Bomber
Maintenance,E7-E9,3,2018,2,2,2,1,2,2,2,0,2,2,-1,1,2,2,2,2,2,1,2,0,1,2,2,2,2,2,1,1,2,1,1,1,1,1,2,2,2,1,1,2,1,1,2,2,2,2,2,1,8,1,1,2,1,2,2,2,2,2,2,1,1,2,1,MAND,901MD,Missile
Maintenance,E7-E9,3,2018,0,1,1,1,1,1,-1,0,1,1,-1,1,1,1,1,-2,0,1,2,0,1,1,1,1,1,1,1,1,0,-1,-1,0,1,1,1,0,1,1,1,1,1,1,0,0,1,1,1,1,8,1,1,0,-1,1,1,1,1,1,1,1,1,1,1,MAND,901MD,Missile
Operator,E7-E9,3,2018,1,1,1,1,2,2,1,0,1,1,1,1,-1,1,1,1,1,2,2,0,1,-1,1,1,1,1,1,1,1,1,-2,2,2,0,2,1,1,1,0,1,1,1,2,1,1,1,2,1,9,2,1,2,1,2,1,1,2,1,1,2,1,1,1,MAND,901MD,Missile
Operator,E4-E6,2,2018,2,2,2,2,1,2,2,0,2,2,1,2,1,1,2,2,2,2,2,0,-1,2,2,2,2,2,2,0,1,2,2,1,1,2,2,2,2,1,2,2,1,2,2,1,1,1,2,2,8,2,1,2,1,2,2,2,1,2,1,1,1,1,1,MAND,901MD,Missile
NC3,E4-E6,2,2018,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,7,1,1,2,1,1,1,1,1,1,1,1,1,1,1,MAND,50BD,COMSEC
Operator,E7-E9,3,2015,1,1,2,1,1,2,2,1,1,2,1,1,2,1,2,2,1,1,1,1,1,1,1,2,1,2,1,0,1,1,1,1,1,-1,1,2,-1,2,1,2,1,2,1,1,1,1,1,1,6,1,-1,1,2,-1,1,-1,2,1,2,-1,1,1,2,OANE,505DE,RECCE
Operator,E4-E6,2,2015,2,-1,0,2,2,1,2,1,1,2,2,1,2,1,1,-2,1,-1,2,1,1,2,0,2,2,2,0,0,2,-1,-1,-1,2,-1,1,1,1,2,0,2,0,-1,0,1,0,0,2,1,6,2,2,0,2,-1,1,-1,2,2,1,2,2,2,2,OANE,505DE,RECCE
Maintenance,E4-E6,2,2015,0,-2,1,1,-2,-1,1,-1,1,1,1,-1,-1,1,-1,-2,0,1,1,-2,1,1,0,1,1,1,-2,-2,1,-2,-2,0,0,-2,2,-1,1,-2,0,2,-2,-2,0,0,0,0,1,-1,3,1,1,0,1,1,1,1,-1,0,1,1,1,1,1,OANE,505DE,RECCE
Maintenance,E4-E6,2,2015,-2,-1,-2,1,-1,1,-1,1,1,-1,-1,1,-2,1,-2,-2,1,1,1,-1,-1,1,1,2,1,-2,1,0,1,-2,-2,0,0,-1,1,-2,1,-2,-2,2,-2,-2,-1,-2,0,0,-1,1,3,-2,1,-2,-2,1,1,-2,1,-2,-2,-2,-2,-2,-1,OANE,505DE,RECCE
Safety,O4-O6,5,2015,2,2,1,1,1,1,2,1,2,1,-2,1,1,2,2,-2,2,2,2,1,1,2,1,2,1,2,2,2,1,-1,1,1,1,1,2,2,2,-1,2,2,1,1,1,2,1,1,1,1,8,1,-1,2,-1,2,2,1,1,1,2,1,1,2,1,OANE,505DE,Multiple NDO Missions
Maintenance,E4-E6,2,2015,-2,-1,0,-2,-2,-2,-2,-2,-2,-2,-2,-1,-2,-1,-2,-1,-2,-1,-2,-2,-2,-1,0,-1,-2,-2,0,-2,-2,-2,-2,-1,-2,0,-1,-2,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,0,-1,-2,-1,-2,-2,OANE,505DE,RECCE
NC3,E4-E6,2,2015,-1,1,0,2,-1,1,1,2,1,1,2,1,1,1,-1,2,0,1,1,2,2,1,0,1,-1,1,1,0,2,1,-1,0,0,-1,2,1,0,2,-1,2,0,1,0,-1,0,0,2,-1,6,1,1,2,1,1,1,-1,1,1,2,-1,-1,1,-1,OANE,505DE,COMSEC
Maintenance,E4-E6,2,2015,1,1,2,2,2,2,1,2,1,2,1,1,2,2,2,2,2,1,2,1,-1,2,1,1,2,2,2,1,2,-1,-1,2,1,1,2,1,1,1,1,2,1,-1,2,2,1,1,2,2,6,2,1,1,1,2,1,2,2,2,2,1,1,1,1,OANE,505DE,RECCE
Maintenance,E4-E6,2,2015,0,1,1,2,2,1,2,2,2,2,2,2,2,2,1,2,1,2,1,2,2,1,2,2,1,2,0,0,2,2,2,2,1,0,2,1,1,2,0,2,1,2,2,1,1,2,2,2,8,2,1,2,1,2,1,1,1,1,1,1,1,2,1,OANE,505DE,RECCE
Maintenance,E4-E6,2,2015,1,1,1,1,1,1,1,1,1,-2,1,2,1,1,1,-1,1,2,1,2,-1,1,0,2,1,1,2,-1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,0,1,0,2,1,-1,8,-1,-1,1,1,1,1,1,1,1,1,1,1,-1,2,OANE,505DE,RECCE
NC3,E4-E6,2,2015,1,1,-1,-1,1,1,1,1,-2,2,-2,1,-1,1,2,-2,1,1,2,-1,1,-1,1,-1,2,1,-2,1,1,-1,-2,1,1,1,2,1,1,-2,1,2,1,1,1,1,1,1,1,1,4,-1,2,1,-2,1,2,1,1,1,1,1,1,-1,-1,OANE,505DE,COMSEC
NC3,E4-E6,2,2015,1,1,2,1,2,-1,1,1,1,-1,1,2,1,1,1,2,2,2,2,1,1,2,1,2,1,1,2,1,2,1,1,2,1,1,2,1,1,-1,1,2,-1,-1,2,1,1,2,2,2,5,1,1,1,1,2,1,2,1,1,1,1,1,2,1,OANE,505DE,COMSEC
NC3,E4-E6,2,2015,0,-1,-1,1,-1,1,1,1,1,1,1,1,1,-1,-1,1,1,1,1,2,2,-1,0,2,-1,-1,1,-1,1,-1,1,0,0,1,2,1,1,1,1,2,-1,-1,0,-1,0,0,1,-1,6,-1,-1,-1,-1,1,1,-1,1,-1,-1,1,1,-1,1,OANE,505DE,Multiple NDO Missions
NC3,E4-E6,2,2015,0,1,0,1,-2,-2,-2,-2,-2,1,1,-2,1,-1,-2,-2,1,1,-1,1,1,-2,-1,-2,-2,-2,0,-1,1,-2,-2,0,-2,-1,2,1,-1,-2,1,2,-1,-2,1,-2,0,0,1,-2,3,1,1,1,-1,-2,-1,-1,-2,-2,1,-1,1,-2,-1,OANE,505DE,COMSEC
NC3,E4-E6,2,2015,1,1,0,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,-2,1,-1,1,-1,1,1,3,-1,1,-1,1,1,-1,-1,1,1,1,1,1,1,1,OANE,505DE,COMSEC
NC3,E4-E6,2,2015,-2,1,1,2,-1,-2,1,0,1,2,2,2,1,-2,1,-2,1,2,1,0,-1,-1,1,1,-2,1,2,1,2,-1,2,1,-1,2,2,2,1,1,1,1,-2,-2,1,-2,1,1,1,1,4,-2,-1,1,-2,1,1,1,1,1,1,1,1,-2,1,OANE,505DE,Multiple NDO Missions
NC3,E4-E6,2,2015,-2,1,0,1,1,-1,-1,1,-2,1,-2,1,1,-1,-1,-1,1,1,1,1,1,-2,-1,-2,1,1,1,-2,2,-1,1,0,0,1,2,0,1,-1,0,2,-2,-2,0,-2,0,0,1,-1,3,-2,-1,-2,-2,1,1,-2,1,-2,1,-2,-1,-2,-2,OANE,505DE,COMSEC
NC3,E4-E6,2,2015,0,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,-1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,OANE,505DE,Multiple NDO Missions
NC3,E4-E6,2,2015,1,1,0,-1,-1,-1,2,-1,-1,1,1,-1,-1,1,1,1,-1,1,1,2,-1,-1,1,1,-1,1,1,-1,1,-2,-2,1,-1,-2,1,-2,1,1,-2,2,-1,-1,-2,-2,1,-1,1,-2,2,-1,2,-1,-1,2,1,-2,2,0,-2,1,1,-1,1,OANE,505DE,Multiple NDO Missions
Maintenance,E7-E9,3,2015,1,1,1,-1,1,1,1,1,1,1,1,-1,-1,-1,1,-2,1,1,1,1,1,-1,1,1,1,1,1,1,1,-1,-1,1,1,-1,2,1,1,-2,1,1,1,1,1,1,1,1,1,1,8,-2,-2,1,1,1,1,1,1,1,1,-1,-1,1,1,OANE,505DE,RECCE
NC3,O4-O6,5,2015,2,-1,1,1,2,1,1,1,1,2,2,1,1,1,1,-1,1,1,1,2,2,1,1,1,1,2,1,1,1,2,1,1,1,1,2,1,1,2,-2,2,1,1,1,1,1,1,1,1,6,1,1,1,1,2,1,-1,1,1,1,1,1,-1,1,OANE,505DE,Multiple NDO Missions
Maintenance,E4-E6,2,2015,0,-1,2,-1,1,1,1,2,2,1,-1,-2,-1,-1,1,2,1,1,1,1,1,1,1,1,1,1,1,-1,1,-2,-2,1,-1,1,2,2,-1,-1,0,2,-1,1,1,-1,1,1,-1,1,3,-2,-1,0,-2,1,1,-2,1,-2,2,-1,1,1,1,OANE,505DE,RECCE
Maintenance,E7-E9,3,2015,2,1,0,1,1,1,2,2,1,2,2,2,-1,1,1,-1,2,2,2,1,1,2,1,2,2,2,2,1,2,-1,-2,-1,1,1,2,2,2,2,1,2,1,1,1,2,1,1,1,2,8,-1,1,2,-1,1,2,1,1,2,0,1,1,2,2,OANE,505DE,RECCE
NC3,O4-O6,5,2015,2,-1,0,1,-1,1,2,1,2,1,1,1,2,1,1,1,2,1,2,2,2,1,1,1,1,1,1,-2,2,1,-2,2,1,1,2,2,2,2,1,2,1,2,-2,1,0,0,2,2,7,-1,1,1,2,2,1,1,2,0,1,-1,-1,1,-1,OANE,505DE,Multiple NDO Missions
Maintenance,E7-E9,3,2015,1,-1,2,-2,2,-1,1,2,2,1,1,2,-2,-2,1,2,2,1,2,-1,-2,1,1,2,2,2,2,1,1,-1,2,1,2,-1,2,1,2,-2,1,2,-1,1,2,1,1,1,2,1,8,-1,-1,1,1,1,2,1,2,1,1,-2,-2,2,2,OANE,505DE,RECCE
NC3,E7-E9,3,2015,1,-1,1,-1,1,1,1,-1,-1,-2,1,-1,1,1,1,1,1,-1,1,1,1,1,-1,1,1,1,-1,-1,1,-2,-2,1,-1,-1,1,1,1,1,-1,1,-1,-1,-1,1,0,0,1,-1,3,-2,1,-1,1,1,-1,-1,1,1,1,1,1,-1,-1,OANE,505DE,Multiple NDO Missions
Maintenance,E7-E9,3,2015,2,1,1,-1,1,1,2,1,1,1,1,1,1,1,2,-1,1,1,2,2,2,1,1,1,1,1,1,1,2,1,1,1,1,1,2,2,2,-1,1,2,1,2,1,2,2,2,1,1,8,2,2,2,1,2,1,1,1,1,2,1,1,2,1,OANE,505DE,RECCE
Maintenance,E4-E6,2,2015,1,-1,1,1,1,1,1,1,1,1,1,2,1,1,2,-1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,2,-2,1,1,2,1,1,1,2,1,1,1,1,-1,1,OANE,505DE,RECCE
Maintenance,E4-E6,2,2015,-2,-2,0,-2,-1,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,-2,1,1,-2,-2,-2,-1,-1,0,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,-2,-1,-2,-2,0,0,-2,-2,1,-1,-1,-2,-2,-2,-2,-2,1,-2,-2,-2,-2,-2,-2,OANE,505DE,RECCE
Maintenance,E4-E6,2,2015,-2,-1,1,-1,-2,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,0,-2,-1,-1,-1,-1,1,-1,-1,1,-1,-1,-2,-1,-1,1,-2,-1,-2,-1,1,-1,-1,0,-1,-1,-1,0,-1,2,-1,-1,-2,-1,-2,-1,-1,-1,-1,-2,-1,-1,1,-1,OANE,505DE,RECCE
Safety,E4-E6,2,2015,0,1,2,1,1,-1,-1,2,1,1,-1,-1,1,-2,-1,-1,1,1,-1,-2,-2,1,-1,-2,1,1,0,-1,-1,-2,1,-2,1,-1,2,-1,-1,1,0,2,-1,-2,-1,-1,0,0,1,1,2,-1,-2,-1,-2,1,1,1,1,1,2,-2,-1,-1,-1,OANE,505DE,Multiple NDO Missions
Operator,E7-E9,3,2015,0,1,0,1,-2,-1,-1,1,1,-1,1,1,-1,-1,-2,-1,-2,1,-2,1,1,-2,-2,1,1,1,1,-2,-1,-2,-2,0,0,1,1,-1,1,-1,-1,1,-2,-2,-2,-2,0,0,-1,1,4,-1,-1,1,1,1,1,-1,1,0,0,-2,-2,-1,-1,OANE,505DE,RECCE
Maintenance,E4-E6,2,2015,0,1,-1,1,-1,-2,-1,1,1,1,-2,1,-1,1,-1,-1,1,1,1,-1,-2,-2,-1,1,1,1,1,-1,1,-2,-2,-1,1,-1,1,1,-1,-2,1,1,-2,-1,-1,-1,0,0,1,1,2,1,-1,1,1,1,-1,-1,-1,-2,-2,-1,-1,-1,-1,OANE,505DE,RECCE
Maintenance,E4-E6,2,2015,0,-2,-1,-2,-2,-2,-2,1,1,1,-2,-2,-2,1,-2,-1,-2,-2,-2,-2,-2,-2,-2,1,-2,1,0,0,1,-2,-2,0,-2,-2,1,-2,-2,-2,0,1,-2,-2,0,-2,-2,0,-1,1,1,-2,-1,1,-2,-2,-2,-2,-2,-2,-2,-1,-2,-2,1,OANE,505DE,RECCE
Maintenance,E4-E6,2,2015,-1,-2,1,-1,1,-2,-2,1,1,1,-2,-1,-2,-2,-2,-2,1,-2,-2,-2,-2,-1,-2,1,1,1,0,0,-2,-2,-2,-2,0,-2,1,0,-2,-2,-2,1,-2,-2,-2,1,-2,-2,-2,-2,1,-2,1,-1,1,1,-2,-2,-1,-1,2,-2,-2,-2,-1,OANE,505DE,RECCE
Maintenance,E1-E3,1,2015,0,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,-1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,-1,0,1,1,1,2,1,1,1,1,1,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,OANE,505DE,RECCE
Maintenance,E4-E6,2,2015,-1,1,1,-1,-1,-1,-2,1,2,1,-1,-1,-2,-1,-1,-1,-2,-1,-2,-2,-2,-1,-2,1,-1,-1,-1,-2,-2,-2,-2,-2,-2,-1,1,-2,-1,-2,-2,-1,-2,-2,-2,-2,-2,-2,1,-1,2,-1,-1,-2,1,-1,-1,-2,-2,-2,-2,-2,-1,-2,1,OANE,505DE,RECCE
Maintenance,E4-E6,2,2015,-2,1,1,-1,-1,-2,-1,-1,1,1,-2,1,-1,1,-2,1,-2,1,-1,-1,-2,-1,-1,1,-1,1,1,-2,0,-1,-1,0,0,1,2,-1,-2,-2,1,2,-2,-2,0,-1,0,0,-1,-2,1,1,1,0,1,-1,-2,-2,1,-1,1,-1,-1,-2,1,OANE,505DE,RECCE
Maintenance,E7-E9,3,2015,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,8,1,1,1,1,1,2,1,1,1,1,1,1,1,1,OANE,505DE,RECCE
Operator,E7-E9,3,2015,0,2,0,1,2,2,-1,2,2,2,1,2,2,2,-1,2,1,2,1,2,1,1,-1,2,-1,-1,2,2,2,1,1,2,1,2,2,2,1,1,2,2,-1,-1,2,-1,1,1,2,2,6,1,1,2,1,2,2,-1,1,-1,0,2,2,1,2,OANE,505DE,RECCE
Operator,E4-E6,2,2015,1,1,0,1,1,1,1,1,2,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,-2,1,1,1,2,1,1,1,0,2,1,-1,1,1,1,1,1,1,7,1,1,1,1,1,1,2,1,1,1,1,-1,1,1,OANE,505DE,RECCE
NC3,O1-O3,4,2015,2,1,2,-1,2,1,2,1,-1,-1,-2,-1,1,-1,2,-1,1,2,2,1,1,2,1,2,2,2,2,2,1,-2,-2,2,-1,-1,2,2,2,-1,2,2,1,1,2,2,1,2,1,-1,7,-1,-2,2,-1,1,2,1,2,2,2,-2,1,2,-1,OANE,505DE,COMSEC
Operator,E7-E9,3,2015,1,1,0,1,-1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,-1,1,-1,-1,0,1,-1,1,1,1,-1,1,1,1,1,1,1,0,0,1,1,7,1,1,1,1,1,1,1,-1,-1,1,1,1,1,1,OANE,505DE,RECCE
Operator,E4-E6,2,2015,0,1,1,1,1,1,-2,-1,2,1,1,1,-2,-2,-1,-2,0,1,-1,-1,1,1,1,1,1,1,1,1,-1,-2,-2,-1,1,0,2,1,1,1,0,2,0,-2,-1,-1,0,0,2,1,1,-1,-2,2,1,1,1,1,1,0,1,-2,-2,-2,2,OANE,505DE,RECCE
Operator,E4-E6,2,2015,-1,2,1,2,-1,2,2,2,2,2,-1,2,2,2,1,2,-1,2,1,2,1,2,2,2,2,2,2,2,2,-2,-2,0,2,2,2,0,1,2,2,2,2,-1,2,2,1,1,2,2,5,2,2,2,2,2,1,-2,2,2,-1,1,1,2,2,OANE,505DE,RECCE
Operator,E4-E6,2,2015,1,1,0,1,1,1,1,2,2,2,1,-1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,-1,1,1,0,2,0,1,1,0,2,1,1,1,0,0,0,1,1,7,2,1,1,1,2,1,2,1,2,1,1,-1,-1,1,OANE,505DE,RECCE
Maintenance,E7-E9,3,2015,1,2,1,2,2,2,2,0,2,2,2,1,2,2,1,1,1,2,2,2,1,2,2,2,1,2,2,2,2,2,-1,1,2,1,2,1,1,2,0,2,2,2,2,2,2,2,1,2,2,2,-1,2,1,2,2,1,2,1,2,2,2,2,2,OANE,505DE,RECCE
Operator,E4-E6,2,2015,1,2,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,2,2,1,1,1,1,1,-1,1,1,1,2,2,2,1,1,2,1,2,2,1,1,1,1,1,7,1,1,2,1,1,2,2,2,1,1,1,1,1,2,OANE,505DE,RECCE
Operator,O1-O3,4,2015,1,1,0,1,1,1,1,1,1,2,2,1,2,1,1,-1,1,2,-2,1,2,-1,1,2,1,-1,2,1,1,1,1,1,0,1,1,1,1,1,1,1,-1,-1,1,1,0,0,1,2,7,1,1,2,1,2,1,1,-1,-1,0,1,1,1,2,OANE,505DE,RECCE
NC3,O1-O3,4,2015,1,1,1,2,1,1,1,1,1,2,2,1,1,1,-1,-1,1,1,1,1,1,-1,1,2,1,1,1,1,2,-1,-1,1,1,1,2,1,2,1,0,2,0,1,1,1,1,1,2,-1,4,1,1,1,-1,1,1,-1,2,-1,1,1,1,1,2,OANE,505DE,Multiple NDO Missions
Operator,O4-O6,5,2015,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,-1,-1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,6,-1,-1,2,1,1,2,1,1,1,1,-1,1,-1,1,OANE,505DE,RECCE
Maintenance,E4-E6,2,2015,1,-1,0,-1,-1,1,1,0,-1,1,-1,1,-1,1,-1,-2,-1,1,2,0,1,-1,-1,1,-1,1,1,1,2,1,-2,1,0,1,1,-2,-1,-2,0,1,-1,1,1,-2,0,0,1,1,3,-1,-1,-1,1,1,-1,1,-1,-2,1,1,1,1,1,OANE,505DE,RECCE
Maintenance,E4-E6,2,2015,1,-1,1,-1,2,1,1,1,1,1,1,-1,-1,1,2,1,1,1,2,0,-1,1,1,1,1,2,-1,1,1,-2,-2,-1,-1,-1,1,1,1,-2,1,1,1,1,1,1,0,0,1,1,7,-1,-1,-2,1,1,1,1,1,1,2,1,-1,2,1,OANE,505DE,RECCE
NC3,E7-E9,3,2015,2,2,2,1,2,2,2,2,2,2,-1,-1,1,1,2,-1,2,2,2,1,1,2,2,2,2,2,2,2,2,-2,-1,2,2,-2,2,2,2,2,2,2,2,2,1,2,2,2,2,1,9,-1,-1,2,1,2,2,2,2,2,2,1,1,2,2,OANE,505DE,COMSEC
Maintenance,E4-E6,2,2015,0,1,1,1,-1,1,1,0,-1,1,-2,-1,1,1,-1,-1,1,-1,1,0,1,-1,-1,1,1,1,1,-2,1,-2,-2,1,-1,-2,1,-1,-1,-1,-2,1,-1,-1,1,-1,-1,1,1,1,4,-1,-1,-1,-1,1,-1,-1,-1,1,1,-2,-2,1,-1,OANE,505DE,RECCE
Security,E7-E9,3,2015,1,1,1,1,1,-1,1,0,1,1,-2,1,-1,1,1,-2,1,-1,2,2,1,2,-1,2,-1,1,-1,1,1,-1,-1,1,-1,1,2,1,-1,1,1,2,-1,-1,1,1,1,1,1,-1,7,1,1,1,1,1,1,-1,-1,-1,2,1,1,1,1,OANE,505DE,HQ Aircraft protection
Security,E4-E6,2,2015,0,1,1,1,-2,-2,1,1,1,1,-1,-1,1,-1,-1,-1,-1,1,-1,-1,-2,1,0,-2,1,1,1,-2,1,-1,-2,-1,0,-2,1,0,0,-2,-1,1,-2,-2,-1,-1,0,0,-1,-1,3,-2,-1,0,0,1,-1,-2,1,-1,1,-2,1,-1,-1,OANE,505DE,HQ Aircraft protection
Operator,E4-E6,2,2015,0,1,1,1,1,1,-1,1,1,1,-1,-1,1,-1,-1,0,1,1,1,-2,1,0,0,1,1,1,1,0,0,-1,-1,0,0,1,1,-1,1,1,1,1,-1,1,0,1,0,0,0,-1,5,0,0,0,0,1,1,-1,-2,0,1,-2,1,-2,1,OANE,505DE,RECCE
Security,E4-E6,2,2015,0,-1,1,1,1,1,1,1,1,2,1,1,-1,1,1,2,-2,-1,1,1,1,2,1,1,2,2,1,-1,1,-1,1,1,1,1,1,2,1,1,1,1,0,1,1,2,0,0,2,1,5,1,1,-1,1,1,2,1,1,1,2,1,1,2,2,OANE,505DE,HQ Aircraft protection
NC3,E4-E6,2,2015,1,1,2,1,1,2,1,2,2,1,2,1,2,2,1,-2,2,1,2,-1,2,1,1,1,1,2,1,2,1,-1,1,1,1,1,2,1,2,2,0,2,0,2,1,2,1,1,1,-1,7,2,2,1,1,2,2,2,2,2,2,2,2,-1,1,OANE,505DE,COMSEC
Maintenance,E4-E6,2,2015,1,-1,2,-1,2,2,1,0,1,1,-1,-1,1,1,1,-1,0,1,-2,0,1,-2,1,1,1,-2,2,1,-1,-2,-1,-2,1,1,2,1,-1,-2,-1,2,-1,-1,1,-1,0,0,1,1,5,-1,2,0,1,2,-1,1,2,0,2,1,1,1,-1,OANE,505DE,RECCE
Operator,O1-O3,4,2015,2,1,1,1,1,1,2,1,2,1,1,1,1,-1,2,-1,2,1,2,-1,-1,2,1,2,2,2,1,2,1,1,1,2,1,1,2,2,2,1,2,2,1,1,2,2,2,1,2,1,8,-1,-1,2,-1,2,2,1,2,2,1,1,1,2,1,OANE,505DE,RECCE
Security,E7-E9,3,2015,2,2,2,1,2,2,2,1,1,1,-1,2,1,1,2,1,2,1,2,1,-1,2,1,2,1,2,2,2,2,1,-1,2,2,1,2,1,1,-1,2,2,1,1,2,1,2,2,2,2,8,1,1,2,1,2,2,2,2,1,2,1,1,2,2,OANE,505DE,HQ Aircraft protection
NC3,O4-O6,5,2015,2,1,1,-1,1,2,1,1,-1,1,-2,-1,1,-1,2,1,1,2,2,1,-2,-1,-1,2,1,1,2,2,1,-2,-2,-1,1,-2,2,2,2,-2,1,2,1,1,-1,1,1,-1,1,-1,9,-1,-1,1,-1,2,2,1,1,1,2,-1,1,1,-1,OANE,505DE,COMSEC
